content,intensity
love like war easy begin hard stop,1
shaped fashid love,1
love star sky fish sea,1
true love happy ending ending,1
hate love love,1
heart love stay always,1
describe word boy mine,1
love exposing pain hurt trust,1
love begin smile grows kiss end teardrop,1
idea happened know love,1
love listen song relates sure feel,1
wish could love way love,1
taught love stop,1
far important attention give loved listening,1
like flower give fragrance crush,1
peopel love make feel,1
touch love every becomes poet,1
cuddling would perfect right,1
tighter hug better feel,1
said truly fall love believe every time see fall love,1
love smile eye laugh personality humor hate never,1
every need good guy help laugh never smile,1
idea like make smile love talking wish,1
truly love see mess moody get hard hle want,1
good relationship worth wait,1
eir live love die way,1
count blessing count twice,1
talk fall love,1
love hate,1
love yester love always always,1
love control every single emotion,1
love never fails fails life love,1
want hug yuh soo tight air could fill space,1
kiss garden love blind neighbs,1
meet past want future,1
incapable loving anor unless love self,1
hattered cease hatered haterd cease love,1
jealousy love hate time,1
give time good love rar good order fulfill moral duty,1
wait boy would every,1
everytime look keyboard always see toger,1
anor year toger always easy ever,1
love mind heart feel,1
love logical,1
million million,1
want tomorrow next week rest life,1
never buy love pay,1
love reveals belief endures love never fails,1
would learn secret right relation look divine leave rest god,1
love sorry said,1
know love,1
space finger filled mine,1
found love life closest truest friend,1
magic first love ignorance never end,1
love found exist,1
angry hurt big difference,0
available busy,0
exist impress world exist live life way make happy,0
every getting expensive except getting cheaper,0
screen brighter future,0
anger feeling make mouth work faster mind,0
good way keep idiot busy second read,0
best way get attention stop giving,0
like bring past present future look better irs,0
wakeupjobnoluvdaarusleeprepeat,0
hater making famous give sht talk back,0
hurt worst person made feel special yester make feel unwanted,0
life short waste reading sapp status,0
treated way treat would hate gut,0
like potato chip,0
asked life would sacrificed smile stripped pride,0
always miss find happier,0
change two reason learned lot hurt time,0
fail feel shame step away success,0
get betrayed never,0
ever get jealous shit come mouth,0
give lot importance loss importance life,0
solution focus negative,0
every negative positive find utilize,0
always focus negative never see positive,0
negativity cer soul spread like flu,0
realized powerful would never negative,0
life give lemon squeeze eye,0
take nice long shit stress,0
disturb disturbed enough already,0
please interrupt ignoring,0
stop letting world change change world,0
looking come fuck fairy right change,0
looking past yeahalot hurt know made stronger,0
talk back afraid say face,0
ever want talk elevator,0
heard said listen better next time,0
bee assume next time quick judge never know like shoe,0
wishing would underst,0
ahead ignore mei play game probably better,0
time disrespectful immature selfish individual,0
ever notice saying hate drama start make sense,0
wondering certain work annoying come naturally,0
work hard get credit get every,0
like tree take ever grow,0
ugh fake bet look bottom foot say made china,0
life short let get hle need life,0
,0
selfish,0
change perfect anymore,0
killed left good,0
never dreamed success worked,0
like remember mind matter mind matter,0
original worth copy,0
yes selfish want,0
selfish come,0
like,0
approval needed,0
would rar hated real loved fake,0
good got,0
simple complex generous selfish unattractive beautiful lazy driven,0
beauty capture attention personality capture heart,0
left reason please come back excuse,0
born express impress,0
ego speaks attitude reply,0
bee judge make sure perfect,0
treat badly treat accordingly,0
life rule attitude,0
want fuck feeling,0
never love cost dignity self respect,0
beauty skin deepattitude,0
treated like option left like choice,0
two way happy change situation change mindset towards,0
attitude may hurt mine kill,0
private person ask,0
toy,0
want treat treat character,0
ever ignoring swear,0
take status taker status,0
hold put pocket continue walk,0
afraid outnumbered eagle fly pigeon flock toger,0
change,0
,0
nobody teach,0
yes smiling reason anymore,0
choose lose backup plan definitely second choice,0
crazy crazy normal time time,0
never never never never give,0
difference somebody want somebody would keep remember,0
enough middle finger show feel,0
yes changed pain,0
dear stop comparing guy player jerk,0
bravest ever continuing life wanted die,0
show,0
fear commitment fear wasting time,0
live love fight cry never give,0
treat feel,0
asked attitude simply replied single attitude,0
attitude depends front,0
selfish mine mine end story,0
want let know please gently let,0
laughed different laughed,0
insult describe,0
two fundamental cool life walk like king walk like king,0
trusted word action spoke truth,0
like raise raise stard,0
beauty fade time personality ever,0
dear broken hearted hold head high middle finger higher let know missing,0
mind bitch attitude lady class,0
need come need men throw aside fine,0
respect respect get get simple,0
sum hate reason give reason,0
never give love,0
excellence skill attitude,0
want come get want come get,0
good bad never get caught,0
keep relationship must keep business ner world need know problem,0
hate men problem,0
problem problem problem attitude towards problem,0
like parking space good already taken,0
seeing put priceless,0
stop asking faithful busy chasing hoe,0
difference good bad attitude,0
trust easily trust please make regret,0
tumblr beautiful,0
say gentleman exist anymore exist gentleman attracted lady slut,0
try judge dude idea fuck,0
want let know please gently let,0
putting headphs avoid bullshit,0
scd see else,0
silence best way react angry,0
hate moment suddenly anger turn tear,0
never gotten given,0
word describe anger frustration feeling right,0
make promise keep,0
angry hurt big difference,0
better cry angry anger hurt tear flow silently soul cleaneses heart,0
delete number basically deleted life,0
getting angry actually punishing mistake,0
never realise emotional mental damage,0
mistake letting mistake letting,0
nobody make angry decide use anger response,0
person said sweetest also said est ever heard,0
never get say angry truth come,0
know hate hate self,0
need open small mind instead big mouth,0
anger feeling make mouth work faster mind,0
angry text speed increase ridiculous amount,0
every minute angry lose sixty second happiness,0
suck realize rejected person wasted time,0
anger natural deffense pain say hate really hurt,0
every getting expensive except getting cheaper,0
anger poison must purge mind else corrupt better nature,0
say milk good teeth know else good teeth minding damn business,0
anger make smaller giviness grow beyond,0
,0
give never got,0
may wrong doubt,0
nobody move lost mind,0
hot dude cool attitude,0
sorry vegetarian pretend,0
follow heart dont stupid,0
attitude based treat,0
perfect limited addition,0
cool global warming made hot,0
stop checking status get life,0
nerd smarter,0
sorry change changed,0
approval needed,0
special limited edition,0
silence best response fool,0
change,0
take kindness sign weakness,0
excellence skill attitude,0
every kill make feel alive,0
sorry fault got idiot,0
poor pay attention class room,0
bee judge make sure perfect,0
attitude may hurt mine kill,0
yeah reading status get lost,0
copy attitude attitude,0
good best bad worst,0
hurt truth never comt lie,0
biggest slap enemy success,0
say dream big say small,0
dont show attitude hle mine,0
bad hwriting font,0
attitude always based treat,0
never insult,0
level maturity change depending,0
attitude little make big difference,0
allow badass confident,0
style reflection attitude personality,0
designer destiny make better,0
may win may lose never defeated,0
bad wrong worst,0
know awesome opinion,0
need explain know right,0
may hear word feel attitude,0
last seen check last seen,0
best way destroy enemy make friend,0
wife live happily year met,0
wish google mind antivirus heart,0
changed grew try,0
fake image main real,0
cse talk need expert advice,0
life short waste removing pen drive safely,0
life give exactly need want,0
currently anger mood read wonderful collection feeling angry status english quote latest angry status english sapp facebook get best feeling angry status english boyfriend friend husb wife boy,0
need open small mind instead big mouth,0
change wrong shit happens life,0
try please end know work,0
stopped believing,0
take lot energy get angry use energy way,0
take lot energy get angry use energy way,0
may look calm head killed time,0
mood talk,0
delete number basically deleted life,0
ahead judge remember perfect rest life,0
would age anger could learn age stupidity,0
specific angry status article included latest awesome collection best feeling angry status english friend friend boyfriend wife husb collection best feeling angry status english boy also separate collection feeling angry status english want express feeling term anger express anger special way warding wonderful angry status english boyfriend friend wife husb friend,0
delete block keeping able see happy,0
suck realise rejected person wasted time,0
happy really give pretend like wait turn destroy,0
person complain harder try annoy,0
best line angry status sapp english,0
never realise emotional mental damage,0
two facebook account face,0
would age anger would age stupidity,0
put word mouth got plenty say,0
live life way,0
would age anger would age stupidity,0
every getting expensive except getting cheaper,0
searching angry sapp status english reached right place might feeling every feel anger every want feeling word untunately find proper word express feeling article shd wonderful collection feeling angry status english sapp facebook also feeling comment box word feeling angry status english font facebook sapp,0
get latest wonderful collection feeling angry status english type status representation anger get angry loved,0
trust anybody good friend till,0
turn realize knife inch deep back,0
definition experience,0
time expired exit life,0
silence quit simply want argue want underst,0
every minute remain angry give sixty second peace mind,0
better cry angry anger hurt tear flow silently soul cleanness heart,0
going talk back smile face,0
anger acid harm vessel stored ped,0
soon set status sapp facebook using best angry status english boyfriend friend come know exactly feeling right moment ask reason anger best angry status english boyfriend friend could mirror heart post get best angry status quote use ever get angry,0
never make feel like make else feel like every,0
never get say angry truth come,0
anger repressed poison relationship surely cruelest word,0
anger never reason seldom good,0
anger bad anger positive move beyond acceptance evil,0
anger great control transmuted power move world,0
usually every life deal certain scenario irritated due certain situation well problem underst time feel seriously awful also get specific clue hle exactly show,0
kind situation angry status sapp allow show feeling right get array angry sapp status english,0
embarrassment anger biggest humiliation person experience,0
strong good wrestler strong control angry,0
angry take deep breath bee speak mouth act quicker brain,0
never realize emotional mental damage,0
ask reacted heart ing mind stupid decision,0
never temper every wrong,0
moment patience moment anger save thou moment regret,0
short temper low tolerance stupidity immaturity ignorance,0
angry person treated prudent child,0
anger condition tongue work faster mind,0
like put earth entertain every,0
fool give full vent anger wise keep control,0
matter long know tually show true color,0
second chance learned first time,0
patient moment anger escape hundred sorrow,0
two never angry help help,0
worst tempered ever met knew wrong,0
damaged really made stronger,0
teach child never angry teach angry,0
tough make feel worst,0
tired waking every putting stupid fake smile lying world,0
stop negative see psychiatrist facebook happy,0
anger make smaller giveness grow beyond,0
change wrong shit happens life,0
nationality best possible status inectual,0
try please end know work,0
every minute angry loose sixty second happiness,0
education powerful weapon chance world,0
life simple complicated,0
bew greatest mood,0
anger letter short danger,0
never bed mad stay fight,0
want give high five face,0
god lot make angry,0
ing calm make angry,0
tried tried give refuse perfect friend treat respect,0
clear lost importance life,0
follow heart see,0
make promise keep,0
excuse cheating relationship,0
regret past regret time wasted wrong,0
never gotten given,0
get know guy like dog,0
need age anger need age stupidity,0
like put earth entertain every,0
told needed told lying truth,0
life choice problem mistake lesson,0
friend like penny twofaced worthless,0
business mind problem bee talk mine,0
never get fight ugly lose,0
angry text speed increase ridiculous amount,0
action speak louder word word action ing different,0
definition experience time expired exit life,0
text want conversation get word answer,0
never get say angry truth come,0
need open small mind instead big mouth,0
suck realise rejected person wasted time,0
anger letter short danger,0
big make angry stopped believing,0
singing angry know punch face,0
get mad smile creep instead,0
ever want slap stupid,0
quiet mad,0
getting close walking away,0
may kill morning,0
anger make dull men witty keep poor,0
get mad get,0
ever begun anger end shame,0
anger temporary madness,0
anger soon fed dead starving make fat,0
anger fear disguise,0
anger blow lamp mind,0
anger always come frustrated expectation,0
angry open mouth shuts eye,0
never bed angry stay awake plot rge,0
anger lie last ever anger truth last,0
never regret made smile,0
opposite anger calmness empathy,0
anger kill fear gently blowing wind,0
anger punishment give ouself mistake,0
grew lot anger frustration violence heart,0
three type truth kid drunk angry,0
usually lose temper true scary,0
try age anger since age stupidity,0
anger intolerance enemy correct understing,0
every minute angry lose sixty second happiness,0
nobody make angry decide use anger response,0
want treat treat character,0
make anger expensive afd make happiness cheap almost get free,0
control anger letter away anger,0
angry take deep breath bee speak mouth act quicker brain,0
anger fuel losing control,0
need anger agement need stop making angry,0
anger destroys repair,0
angry silenty,0
middle finger enough let know feel two,0
need open small mind instead big mouth,0
try please end know work,0
take lot energy get angry use energy way,0
mood talk,0
may look calm head killed time,0
stopped believing,0
change wrong shit happens life,0
would age anger could learn age stupidity,0
person complain harder try annoy,0
two facebook account face,0
put word mouth got plenty say live life way,0
trust anybody good friend till turn realize knife nches deep back,0
would age anger would age stupidity,0
happy really give pretend like wait turn destroy,0
delete block keeping able see happy,0
ahead judge remember perfect rest life,0
silence quit simply want argue want underst,0
come say pain caused come back,0
delete block keeping able see happy,0
text want conversation get word answer,0
definition experience time expired exit life,0
action speak louder word word action ing different,0
never get fight ugly lose,0
life choice problem mistake lesson business mind problem bee talk mine,0
make promise keep,0
told needed told lying truth,0
get know guy like dog,0
regret past regret time wasted wrong,0
excuse cheating relationship,0
leave going pop head shit neck,0
arguing explaining right,0
getting angry solve,0
holding onto anger like drinking poison expecting anr person die,0
know fake relationship fake hello somebody like,0
let ending ugly remember beautiful beginning,0
bite remind every teeth,0
shut positive say,0
best angry status make realize angry status guy top anger status,0
angry status guy,0
top anger status,0
angry caption instagram,0
angry status image,0
need get angry pissed upset frustrated irritated reason ask cuz know,0
come point life realize tired trying time cut loss let reached point,0
test patienceif lose patience become patient,0
want rub face cheese grater,0
seems like past week long bad,0
would really nice sit cactus,0
anger acid harm vessel stored ped really,0
actually need control anger every need control habit pissing,0
stupid put planet test anger agement skill,0
good get angry sure hell get get keep moving,0
listen wait turn talk,0
stupid believe boy like could love like,0
stress text see alright,0
cup tea drink coffee,0
give easily finally ever bring back,0
time hate get,0
choose choose,0
break heart punch face seriously punch face get icecream,0
hate lost reason love,0
lose lost search inside every found rhsin,0
stop loving decided stop showing matter hard tried would get,0
lot reason give chose stay lot reason stay chose give,0
little bitter sorry offend right mood really,0
chat bored bitch please entertainment,0
like put earth entertain every,0
mood talk,0
delete block keeping able see happy,0
may look calm head killed time,0
anger temporary madness,0
anger great control transmuted power move world,0
try please end know work,0
going talk back smile face,0
never get say angry truth come,0
better cry angry anger hurt tear flow silently soul cleanness heart,0
middle finger enough let know feel two,0
anger acid harm vessel stored ped,0
definition experience time expired exit life,0
anger dwells bosom fool,0
anger soon fed dead starving make fat,0
happy really give pretend like wait turn destroy,0
person lot anger inside definitely love else red color indicates anger indicates love,0
pretend get better seat watch struggle every helping always help,0
two truth angry love,0
anger natural defense pain say hate really hurt,0
feeling like wave stop coming choose surf,0
want hear truth make neighbor angry,0
every minute angry lose sixty second happiness,0
hating make pretty,0
anger letter short danger,0
changed changed,0
anger power make angry,0
nicest limit,0
ever begun anger end shame,0
make angry change status,0
silence best way react angry,0
chapter life turn page move,0
get angry remind kid,0
angry laugh win,0
nobody make angry decide use anger response,0
miss true get lie,0
silence quit simply want argue want underst,0
screen brighter future,0
good way keep idiot busy second read,0
fail feel shame step away success,0
listen angry real truth come,0
fuck feeling unsure,0
feeling worry else,0
big make angry,0
text exercise finger expecting reply back,0
hate cry frustrated hurt really trying kill,0
usually lose temper get angry true scary,0
antisocial antibullshit,0
angry capacity change,0
life choice problem mistake lesson business mind problem bee talk mine,0
like put earth entertain every,0
stopped believing,0
silence quit simply want argue want underst,0
talk need entertainment,0
chat bored entertainment,0
caution greatest mood,0
bew bad mood,0
ever get feeling would like reach choke,0
mood kill somebody,0
going come back bird next life feel deserve little medicine,0
cry usually built anger emotion holding long,0
time fake friend anymore eir real,0
mistake repeated decision,0
allow treat poorly love,0
silence deserve,0
cful word said given gotten,0
cful word action give get,0
funny find shit said,0
need cocaine emotion fuck,0
gave anymore realized,0
opinion effect let assure selfworth wrapped,0
never bed angry stay fight,0
delete block keeping able see happy,0
happy really give pretend like wait turn destroy,0
suck realise rejected person wasted time,0
anger never reason seldom good,0
never bed angry stay awake plot rge,0
ask overreacted heart ing mind stupid decision,0
embarrassment anger biggest humiliation person experience,0
strong good wrestler strong control angry,0
big make angry,0
singing angry know punch face,0
ing calm make angrier,0
